energy_MeV,intensity,intensity_std
8.69537,0.1832803440909091,0.04377146734233101
8.643014,0.18474344318181815,0.04454298804838834
8.591007,0.18608608169696964,0.04535649350540864
8.539344,0.18777921651515153,0.04600301718218129
8.48802,0.18983561654545456,0.0466285927433738
8.437034,0.19122685406060605,0.04742613900027141
8.38638,0.19236872712121214,0.04809723310736647
8.336055,0.19386158906060608,0.048860159662216504
8.286055,0.19575955484848478,0.049590005778632575
8.236377,0.19729452618181814,0.050340488419275034
8.187016,0.1989009541212121,0.05098275155656577
8.13797,0.200893846969697,0.05168784745711689
8.089236,0.2022906029090909,0.05232890002373721
8.04081,0.20345552303030306,0.052966332897762376
7.9926906,0.2041362793939394,0.053505708446035395
7.9448724,0.2051625954545454,0.054121512796036865
7.8973556,0.20603175087878783,0.05479546590305428
7.850135,0.20648426787878785,0.05527898380113214
7.80321,0.2066564563636364,0.05574235263219677
7.7565756,0.2069109727272727,0.056260332772005775
7.710231,0.20776769972727274,0.056897839504883564
7.664174,0.20719324709090906,0.057333959185372194
7.6184006,0.20861587654545455,0.05773694091261345
7.57291,0.2081636413939394,0.058208228688603814
7.5276995,0.20882441254545456,0.058580565915264476
7.482766,0.20871440072727276,0.058976089207087336
7.4381084,0.20926439303030306,0.05943481494458479
7.3937244,0.20892873272727272,0.05975066297462198
7.349611,0.20877159136363635,0.060229031229709885
7.3057675,0.2088730895151515,0.06056927005605627
7.2621903,0.20886808787878786,0.06085064228704987
7.218879,0.20901242969696962,0.061264344770039024
7.175831,0.2086614043636364,0.0616876128446883
7.133044,0.2094962887878788,0.061879600092518555
7.090517,0.209324213030303,0.06193980556047618
7.0482473,0.20900497439393936,0.06204707220939655
7.0062337,0.20797493666666672,0.062252046346535105
6.9644732,0.20821338951515148,0.062398418762856414
6.9229665,0.20715728227272726,0.06258965451952637
6.881709,0.2060249739090909,0.06277106644245531
6.840701,0.20473151154545455,0.06280788554211239
6.79994,0.20454198333333334,0.06290718696080627
6.7594247,0.2041831170909091,0.0629641860063284
6.719154,0.20396325678787883,0.06303060903556258
6.679125,0.20422130060606056,0.06317145303982641
6.6393356,0.20449332393939396,0.06318426463833447
6.599786,0.20313297381818185,0.0634085508153313
6.560474,0.20186135227272728,0.0634310088085783
6.5213976,0.2011361109090909,0.06347491060678066
6.482556,0.19942508230303033,0.06349517650682505
6.443947,0.19843293196969694,0.06352909119439462
6.4055705,0.1980610603030303,0.06338709893835946
6.367422,0.197572156969697,0.06348432872479608
6.3295035,0.19732590242424247,0.0634060657457054
6.291812,0.19733555921212123,0.0633319631252304
6.254346,0.1962943057878788,0.06326115727841977
6.217103,0.19597551357575752,0.06315829008603387
6.1800838,0.19460181133333337,0.06298142005724029
6.1432858,0.1931669585454546,0.06298498210128713
6.106708,0.19298078436363633,0.06274336272630991
6.0703483,0.19293960866666668,0.06249441081150743
6.034206,0.19194583984848476,0.06229976853714268
5.9982805,0.19132416057575757,0.06210533307021973
5.9625683,0.19066231303030304,0.06201598332678067
5.92707,0.18966241596969702,0.06180865791504578
5.891784,0.18853714875757577,0.0617764210437732
5.856708,0.18665468881818184,0.06161523698429765
5.8218417,0.18496037360606066,0.06114600523866393
5.787183,0.18501219730303028,0.060825895339511354
5.752732,0.18415268487878791,0.06064514480025783
5.718485,0.18306256312121214,0.06037944393365297
5.684444,0.18252215654545456,0.06008056726683185
5.650605,0.18141535803030298,0.059741669906627035
5.616968,0.18000256636363632,0.059489773137591254
5.583532,0.1793117031818182,0.05905772411543066
5.550295,0.17839583993939392,0.058574082380248235
5.5172563,0.17700356469696965,0.058184020102176784
5.4844136,0.17659401521212129,0.05783858526719309
5.4517684,0.17539361406060605,0.05745403635696921
5.419316,0.17454839836363642,0.057050848282636055
5.387058,0.1746922873030303,0.0566393369868681
5.3549924,0.17465890948484847,0.0561023824337988
5.3231173,0.17370054884848485,0.05561909932739453
5.2914324,0.17317801987878786,0.0552912908883149
5.2599363,0.17110868424242429,0.054759791703502175
5.228627,0.1682124031212121,0.0543052069343658
5.1975055,0.16675811272727273,0.053801002763553846
5.166569,0.16560215169696968,0.05315035138636064
5.135817,0.16340808078787875,0.052614364843800096
5.105248,0.16195601369696971,0.0521496072662882
5.0748606,0.1619538265454545,0.0514521907129825
5.044654,0.16151803366666664,0.050867539673631584
5.0146275,0.16089116336363635,0.05041766387454153
4.9847803,0.1609710253030303,0.049910242604849255
4.955111,0.16114606242424243,0.04937241062592933
4.9256177,0.16064909087878787,0.04886532406897139
4.8963003,0.15899356793939393,0.04839539522853909
4.867158,0.15763140357575756,0.04798456904814246
4.8381886,0.15607883466666667,0.04759774595070524
4.809392,0.15441960499999996,0.0471926601895188
4.7807665,0.15286618278787883,0.046751190737818075
4.7523127,0.1533991772121212,0.04642306678550757
4.724026,0.1527305257878788,0.04591443450460513
4.695909,0.15245629227272728,0.04539849408007679
4.667959,0.1521709411818182,0.04479293852119954
4.640177,0.1519976838181818,0.04428575457331062
4.612559,0.14968057396969695,0.04379267374528108
4.585105,0.14960908951515153,0.04329916104720223
4.557816,0.14771476345454548,0.04283022605770483
4.530688,0.14739145999999997,0.042340459934064226
4.5037217,0.14687806454545457,0.041661136329660065
4.4769163,0.14644914154545455,0.04121351017080462
4.450271,0.1463883177878788,0.04074667622932383
4.423784,0.1464833243939394,0.04033048961621495
4.3974533,0.14676202209090905,0.04004420031534235
4.3712807,0.1461194262121212,0.039570597718455565
4.345264,0.14614800466666666,0.03912823040289653
