energy_MeV,intensity
8.801149368286132812e+00,5.876262485980987549e-02
8.748080253601074219e+00,5.895067751407623291e-02
8.695369720458984375e+00,5.901099741458892822e-02
8.643013954162597656e+00,5.925903096795082092e-02
8.591007232666015625e+00,5.992344021797180176e-02
8.539343833923339844e+00,6.106175854802131653e-02
8.488019943237304688e+00,6.264218688011169434e-02
8.437033653259277344e+00,6.452133506536483765e-02
8.386380195617675781e+00,6.658603250980377197e-02
8.336054801940917969e+00,6.850831955671310425e-02
8.286054611206054688e+00,7.010927051305770874e-02
8.236376762390136719e+00,7.149419933557510376e-02
8.187015533447265625e+00,7.255354523658752441e-02
8.137969970703125000e+00,7.338042557239532471e-02
8.089236259460449219e+00,7.394702732563018799e-02
8.040809631347656250e+00,7.435598969459533691e-02
7.992690563201904297e+00,7.449385523796081543e-02
7.944872379302978516e+00,7.440742105245590210e-02
7.897355556488037109e+00,7.431915402412414551e-02
7.850134849548339844e+00,7.422409206628799438e-02
7.803209781646728516e+00,7.421095669269561768e-02
7.756575584411621094e+00,7.433160394430160522e-02
7.710230827331542969e+00,7.461486756801605225e-02
7.664174079895019531e+00,7.509966194629669189e-02
7.618400573730468750e+00,7.572869211435317993e-02
7.572909832000732422e+00,7.639102637767791748e-02
7.527699470520019531e+00,7.704524695873260498e-02
7.482766151428222656e+00,7.780375331640243530e-02
7.438108444213867188e+00,7.862844318151473999e-02
7.393724441528320312e+00,7.928334176540374756e-02
7.349610805511474609e+00,7.955787330865859985e-02
7.305767536163330078e+00,7.934279739856719971e-02
7.262190341949462891e+00,7.885226607322692871e-02
7.218879222869873047e+00,7.837852090597152710e-02
7.175830841064453125e+00,7.823969423770904541e-02
7.133043766021728516e+00,7.856398820877075195e-02
7.090517044067382812e+00,7.904732227325439453e-02
7.048247337341308594e+00,7.931992411613464355e-02
7.006233692169189453e+00,7.903009653091430664e-02
6.964473247528076172e+00,7.798741757869720459e-02
6.922966480255126953e+00,7.640902698040008545e-02
6.881709098815917969e+00,7.467544078826904297e-02
6.840701103210449219e+00,7.316313683986663818e-02
6.799940109252929688e+00,7.239449769258499146e-02
6.759424686431884766e+00,7.220885157585144043e-02
6.719153881072998047e+00,7.266486436128616333e-02
6.679124832153320312e+00,7.344006001949310303e-02
6.639335632324218750e+00,7.434419542551040649e-02
6.599785804748535156e+00,7.542702555656433105e-02
6.560473918914794922e+00,7.672938704490661621e-02
6.521397590637207031e+00,7.832241803407669067e-02
6.482555866241455078e+00,8.029337227344512939e-02
6.443946838378906250e+00,8.240802586078643799e-02
6.405570507049560547e+00,8.470624685287475586e-02
6.367422103881835938e+00,8.679848164319992065e-02
6.329503536224365234e+00,8.863858133554458618e-02
6.291811943054199219e+00,9.007193148136138916e-02
6.254345893859863281e+00,9.109193086624145508e-02
6.217103004455566406e+00,9.174194186925888062e-02
6.180083751678466797e+00,9.222602099180221558e-02
6.143285751342773438e+00,9.259499609470367432e-02
6.106708049774169922e+00,9.309428930282592773e-02
6.070348262786865234e+00,9.372024238109588623e-02
6.034205913543701172e+00,9.442953765392303467e-02
5.998280525207519531e+00,9.512948244810104370e-02
5.962568283081054688e+00,9.566137194633483887e-02
5.927070140838623047e+00,9.598499536514282227e-02
5.891784191131591797e+00,9.598870575428009033e-02
